Year,Product line,Product type,Product,Order method type,Retailer country,Revenue,Planned revenue,Product cost,Quantity,Gross profit,Partners,Sifra,Continent
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,China,28198,30314,13340,4600,14858,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Belgium,5489.01,5660.81,2491.1,859,2997.91,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,United States,48205.04,68628.26,24392.09,10414,23812.95,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Japan,13884.17,14781.37,6504.7,2243,7379.47,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Korea,20909.43,22478.49,9891.9,3411,11017.53,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Netherlands,18592.65,31019.13,9837.63,4707,8755.02,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,France,42909.66,56726.72,21169.16,8608,21740.5,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Spain,14010.65,23374.73,7413.23,3547,6597.42,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Canada,147265.42,168769.9,70010.02,25610,77255.4,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Japan,72181.72,91521.92,35412.77,13888,36768.95,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Netherlands,15846.05,17035.15,7496.5,2585,8349.55,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Sweden,12807.11,13634.71,6000.1,2069,6807.01,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Germany,131629.64,188539.9,66575.41,28610,65054.23,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Italy,57185.2,73445.55,27959.46,11145,29225.74,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Spain,27749.54,39902.45,13998.74,6055,13750.8,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,United States,46745.73,50011.51,22008.1,7589,24737.63,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Brazil,34051.1,36001.17,15842.7,5463,18208.4,American Retail Store,19009,South America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Japan,60048.26,76364.92,29283.85,11588,30764.41,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Singapore,97534.43,104853.49,46141.9,15911,51392.53,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,France,39388.15,41839.91,18412.1,6349,20976.05,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Germany,13525.15,14399.15,6336.5,2185,7188.65,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,United States,209592.06,235238.22,124283.88,18774,85308.18,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Canada,8489.36,12129.04,6408.16,968,2081.2,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Mexico,11962.28,17090.92,9029.68,1364,2932.6,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Brazil,7919.31,11314.59,5977.86,903,1941.45,American Retail Store,19009,South America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Japan,107959.17,124485.55,65769.7,9935,42189.47,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,China,46017.41,55219.71,29174.34,4407,16843.07,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Netherlands,24432.93,25448.43,13445.22,2031,10987.71,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Finland,27416.37,28555.87,15086.98,2279,12329.39,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Denmark,21677.06,26513.48,14007.92,2116,7669.14,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,France,47071.94,52951.78,27976.12,4226,19095.82,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,United Kingdom,108403.69,123934.23,65478.42,9891,42925.27,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Austria,11237.69,13269.27,7010.58,1059,4227.11,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,United States,58425.59,66045.63,34894.02,5271,23531.57,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Mexico,54227.67,58853.41,31094.14,4697,23133.53,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Korea,79294.15,88273.85,46637.9,7045,32656.25,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Singapore,77432.45,86820.37,45869.98,6929,31562.47,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Finland,8721.75,9084.25,4799.5,725,3922.25,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,France,42056.65,51936.85,27439.9,4145,14616.75,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Germany,36158.61,44218.37,23361.98,3529,12796.63,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Belgium,4860,5012,2648,400,2212,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Italy,56161.63,61610.01,32550.54,4917,23611.09,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,United States,156644.47,176334.69,93163.26,14073,63481.21,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Canada,56887.08,59191.72,31272.88,4724,25614.2,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Mexico,6748.83,7029.33,3713.82,561,3035.01,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Brazil,47810.43,52613.47,27797.38,4199,20013.05,American Retail Store,19009,South America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Japan,40240.35,41912.85,22143.9,3345,18096.45,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Korea,50640.8,59479.91,31425.14,4747,19215.66,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,China,140445.34,156324.28,82591.12,12476,57854.22,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Singapore,22123.17,23042.67,12174.18,1839,9948.99,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Netherlands,56802.39,66446.59,35105.86,5303,21696.53,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Sweden,13076.61,13620.11,7195.94,1087,5880.67,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Finland,69089.27,77447.93,40918.22,6181,28171.05,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Denmark,6351.84,6615.84,3495.36,528,2856.48,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,France,60353.04,62800.36,33179.44,5012,27173.6,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Germany,50627.21,52776.36,27883.44,4212,22743.77,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,United Kingdom,52519.3,57487.64,30372.56,4588,22146.74,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Belgium,25113.83,28405.51,15007.54,2267,10106.29,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Austria,38383.55,42163.45,22276.3,3365,16107.25,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Italy,7073.64,7367.64,3892.56,588,3181.08,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Spain,53777.57,59404.73,31385.42,4741,22392.15,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Canada,13557.81,14121.31,7460.74,1127,6097.07,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Mexico,12342.03,12793.13,6759.02,1021,5583.01,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Singapore,12909.44,18444.16,9744.64,1472,3164.8,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,United States,30439.81,36424.71,19244.34,2907,11195.47,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,Korea,10514.22,10951.22,5785.88,874,4728.34,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,Singapore,9575.88,9973.88,5269.52,796,4306.36,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,France,6688.68,6966.68,3680.72,556,3007.96,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,Germany,7508.9,7906.43,4177.22,631,3331.68,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,Spain,10959.3,11302.06,5971.24,902,4988.06,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Canada,85220.47,93060.31,49166.74,7427,36053.73,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Japan,52162.7,58828.35,31080.9,4695,21081.8,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Netherlands,8745.81,9109.31,4812.74,727,3933.07,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Sweden,34551.87,38078.67,20118.18,3039,14433.69,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Germany,72362.89,83111.49,43910.46,6633,28452.43,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Italy,22305.82,26964.56,14246.24,2152,8059.58,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Spain,8121.02,11602.78,6130.12,926,1990.9,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,United States,6796.95,7079.45,3740.3,565,3056.65,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Canada,6207.48,6465.48,3415.92,516,2791.56,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Brazil,18595.47,19308.73,10201.42,1541,8394.05,American Retail Store,19009,South America
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Singapore,9660.09,10061.59,5315.86,803,4344.23,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Netherlands,8673.63,9034.13,4773.02,721,3900.61,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Finland,11050.2,15787.8,8341.2,1260,2709,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,France,28553.55,33041.61,17456.94,2637,11096.61,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Germany,7374.39,7680.89,4058.06,613,3316.33,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,United Kingdom,6496.2,6766.2,3574.8,540,2921.4,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Spain,6063.12,6315.12,3336.48,504,2726.64,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,United States,422398.66,449225,300678.75,18875,121719.91,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Mexico,60063.81,65045.4,43536.69,2733,16527.12,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Brazil,49874.88,53835.6,36033.66,2262,13841.22,American Retail Store,19009,South America
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Japan,153637.98,163196.6,109232.01,6857,44405.97,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Singapore,143364.09,154914.2,103688.37,6509,39675.72,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Netherlands,43780.6,45600.8,30521.88,1916,13258.72,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Sweden,13093.05,13637.4,9127.89,573,3965.16,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Finland,46294.1,48218.8,32274.18,2026,14019.92,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Denmark,60143.67,64498,43170.3,2710,16973.37,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,France,151294.93,161007,107766.45,6765,43528.48,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,United Kingdom,234305.84,249233.6,166818.96,10472,67486.88,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Austria,53484.6,56644,37913.4,2380,15571.2,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Italy,10298.14,10614.8,7104.78,446,3193.36,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,United States,96725.24,102887.4,68865.39,4323,27859.85,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Mexico,48115.42,50027.6,33484.86,2102,14630.56,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Korea,35646,37128,24850.8,1560,10795.2,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,China,33650.82,37389.8,25026.03,1571,8624.79,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Singapore,89412.05,93129.4,62334.09,3913,27077.96,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Finland,52098,54264,36320.4,2280,15777.6,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Denmark,18033.29,18587.8,12441.33,781,5591.96,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,France,132727.54,140562.8,94082.58,5906,38644.96,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Germany,24974.32,25894.4,17331.84,1088,7642.48,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Belgium,12791.86,13185.2,8825.22,554,3966.64,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Italy,62961.29,68210.8,45655.38,2866,17305.91,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,United States,220003.68,229051.2,153310.32,9624,66693.36,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Canada,46995,48837.6,32688.36,2052,14306.64,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Mexico,50091.26,51931.6,34759.26,2182,15332,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Brazil,83601.75,86322.6,57778.11,3627,25823.64,American Retail Store,19009,South America
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Japan,16406.3,17088.4,11437.74,718,4968.56,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Korea,149974.1,157889.2,105679.62,6634,44294.48,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,China,297392.3,315231,210992.85,13245,86399.45,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Netherlands,96053.54,102887.4,68865.39,4323,27188.15,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Finland,57719.1,60118.8,40239.18,2526,17479.92,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Denmark,21298.62,22419.6,15006.06,942,6292.56,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,France,44263.84,45886.4,30713.04,1928,13550.8,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Germany,47064.08,48932.8,32752.08,2056,14312,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,United Kingdom,62661.77,65426.2,43791.57,2749,18870.2,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Belgium,36229.1,38365.6,25679.16,1612,10549.94,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Austria,32626.17,33629.4,22509.09,1413,10117.08,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Italy,12270.45,12780.6,8554.41,537,3716.04,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Spain,87278.11,90225.8,60390.63,3791,26887.48,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Special,Canada,23284.86,24133.2,16153.02,1014,7131.84,American Retail Store,19009,North America
